"full_name","born","died","born_country","born_country_code","died_country","died_country_code","gender","year","category","motivation","organization_name","organization_city","organization_country","winning_age","organization_name_standard"
"George Wald","1906-11-18","1997-04-12","USA","US","USA","US","male",1967,"Medicine","""for their discoveries concerning the primary physiological and chemical visual processes in the eye""","Harvard University","Cambridge MA","USA",61,"Harvard University"
"Robert C. Merton","1944-07-31",NULL,"USA","US",NULL,NULL,"male",1997,"Economics","""for a new method to determine the value of derivatives""","Harvard University","Cambridge MA","USA",53,"Harvard University"
"Walter Gilbert","1932-03-21",NULL,"USA","US",NULL,NULL,"male",1980,"Chemistry","""for their contributions concerning the determination of base sequences in nucleic acids""","Harvard University Biological Laboratories","Cambridge MA","USA",48,"Harvard University"
"Dudley R. Herschbach","1932-06-18",NULL,"USA","US",NULL,NULL,"male",1986,"Chemistry","""for their contributions concerning the dynamics of chemical elementary processes""","Harvard University","Cambridge MA","USA",54,"Harvard University"
"Georg von Békésy","1899-06-03","1972-06-13","Hungary","HU","USA","US","male",1961,"Medicine","""for his discoveries of the physical mechanism of stimulation within the cochlea""","Harvard University","Cambridge MA","USA",62,"Harvard University"
"William Kaelin","1957-11-23",NULL,"USA","US",NULL,NULL,"male",2019,"Medicine","""for their discoveries of how cells sense and adapt to oxygen availability""","Harvard Medical School","Boston MA","USA",62,"Harvard University"
"Robert A. Millikan","1868-03-22","1953-12-19","USA","US","USA","US","male",1923,"Physics","""for his work on the elementary charge of electricity and on the photoelectric effect""","California Institute of Technology (Caltech)","Pasadena CA","USA",55,"California Institute of Technology (Caltech)"
"Murray Gell-Mann","1929-09-15","2019-05-24","USA","US","USA","US","male",1969,"Physics","""for his contributions and discoveries concerning the classification of elementary particles and their interactions""","California Institute of Technology (Caltech)","Pasadena CA","USA",40,"California Institute of Technology (Caltech)"
"Carlos Filipe Ximenes Belo","1948-02-03",NULL,"East Timor","TL",NULL,NULL,"male",1996,"Peace","""for their work towards a just and peaceful solution to the conflict in East Timor""",NULL,NULL,NULL,48,NULL
"Sully Prudhomme","1839-03-16","1907-09-07","France","FR","France","FR","male",1901,"Literature","""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",NULL,NULL,NULL,62,NULL
"Bjørnstjerne Bjørnson","1832-12-08","1910-04-26","Norway","NO","France","FR","male",1903,"Literature","""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",NULL,NULL,NULL,71,NULL
"Verner von Heidenstam","1859-07-06","1940-05-20","Sweden","SE","Sweden","SE","male",1916,"Literature","""in recognition of his significance as the leading representative of a new era in our literature""",NULL,NULL,NULL,57,NULL
"Ernest Hemingway","1899-07-21","1961-07-02","USA","US","USA","US","male",1954,"Literature","""for his mastery of the art of narrative most recently demonstrated in <I>The Old Man and the Sea</I> and for the influence that he has exerted on contemporary style""",NULL,NULL,NULL,55,NULL
"Elias James Corey","1928-07-12",NULL,"USA","US",NULL,NULL,"male",1990,"Chemistry","""for his development of the theory and methodology of organic synthesis""","Harvard University","Cambridge MA","USA",62,"Harvard University"
"Konrad Bloch","1912-01-21","2000-10-15","Germany (now Poland)","PL","USA","US","male",1964,"Medicine","""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""","Harvard University","Cambridge MA","USA",52,"Harvard University"
"Robert B. Woodward","1917-04-10","1979-07-08","USA","US","USA","US","male",1965,"Chemistry","""for his outstanding achievements in the art of organic synthesis""","Harvard University","Cambridge MA","USA",48,"Harvard University"
"Nicolaas Bloembergen","1920-03-11","2017-09-05","the Netherlands","NL","USA","US","male",1981,"Physics","""for their contribution to the development of laser spectroscopy""","Harvard University","Cambridge MA","USA",61,"Harvard University"
"George R. Minot","1885-12-02","1950-02-25","USA","US","USA","US","male",1934,"Medicine","""for their discoveries concerning liver therapy in cases of anaemia""","Harvard University","Cambridge MA","USA",49,"Harvard University"
"Roy J. Glauber","1925-09-01","2018-12-26","USA","US","USA","US","male",2005,"Physics","""for his contribution to the quantum theory of optical coherence""","Harvard University","Cambridge MA","USA",80,"Harvard University"
"Ralph Bunche","1904-08-07","1971-12-09","USA","US","USA","US","male",1950,"Peace","""for his work as mediator in Palestine in 1948-1949""","Harvard University","Cambridge MA","USA",46,"Harvard University"
"Julian Schwinger","1918-02-12","1994-07-16","USA","US","USA","US","male",1965,"Physics","""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""","Harvard University","Cambridge MA","USA",47,"Harvard University"
"John H. Van Vleck","1899-03-13","1980-10-27","USA","US","USA","US","male",1977,"Physics","""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""","Harvard University","Cambridge MA","USA",78,"Harvard University"
"Michael Kremer","1964-11-12",NULL,"USA","US",NULL,NULL,"male",2019,"Economics","""for their experimental approach to alleviating global poverty""","Harvard University","Cambridge MA","USA",55,"Harvard University"
"Kenneth J. Arrow","1921-08-23","2017-02-21","USA","US","USA","US","male",1972,"Economics","""for their pioneering contributions to general economic equilibrium theory and welfare theory""","Harvard University","Cambridge MA","USA",51,"Harvard University"
"Wassily Leontief","1906-08-05","1999-02-05","Russia","RU","USA","US","male",1973,"Economics","""for the development of the input-output method and for its application to important economic problems""","Harvard University","Cambridge MA","USA",67,"Harvard University"
"Otto Stern","1888-02-17","1969-08-17","Germany (now Poland)","PL","USA","US","male",1943,"Physics","""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""","Carnegie Institute of Technology","Pittsburgh PA","USA",55,"Carnegie Mellon University"
"Nicholas Murray Butler","1862-04-02","1947-12-07","USA","US","USA","US","male",1931,"Peace","""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind""","Columbia University","New York NY","USA",69,"Columbia University"
"Polykarp Kusch","1911-01-26","1993-03-20","Germany","DE","USA","US","male",1955,"Physics","""for his precision determination of the magnetic moment of the electron""","Columbia University","New York NY","USA",44,"Columbia University"
"Hideki Yukawa","1907-01-23","1981-09-08","Japan","JP","Japan","JP","male",1949,"Physics","""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""","Columbia University","New York NY","USA",42,"Columbia University"
"Louis J. Ignarro","1941-05-31",NULL,"USA","US",NULL,NULL,"male",1998,"Medicine","""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""","University of California School of Medicine","Los Angeles CA","USA",57,"University of California"
"Martin L. Perl","1927-06-24","2014-09-30","USA","US","USA","US","male",1995,"Physics","""for the discovery of the tau lepton""","Stanford University","Stanford CA","USA",68,"Stanford University"
"Arthur Kornberg","1918-03-03","2007-10-26","USA","US","USA","US","male",1959,"Medicine","""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""","Stanford University","Stanford CA","USA",41,"Stanford University"
"Victor Ambros","1953-12-01",NULL,"USA","US",NULL,NULL,"male",2024,"Medicine","for their discovery of microRNAs and their role in post-transcriptional gene regulation","University of Massachusetts Medical School","Worcester MA","USA",70,"University of Massachusetts Medical School"
"Gary Ruvkun","1952-03-26",NULL,"USA","US",NULL,NULL,"male",2024,"Medicine","for their discovery of microRNAs and their role in post-transcriptional gene regulation","Harvard Medical School","Boston MA","USA",72,"Harvard University"
"John J. Hopfield","1933-07-15",NULL,"USA","US",NULL,NULL,"male",2024,"Physics","for foundational discoveries and inventions that enable machine learning with artificial neural networks","Princeton University","Princeton NJ","USA",91,"Princeton University"
"Geoffrey E. Hinton","1947-12-06",NULL,"United Kingdom","GB",NULL,NULL,"male",2024,"Physics","for foundational discoveries and inventions that enable machine learning with artificial neural networks","University of Toronto","Toronto","Canada",76,"University of Toronto"
"David Baker","1962-10-06",NULL,"USA","US",NULL,NULL,"male",2024,"Chemistry","for advancements in protein structure prediction and design using artificial intelligence","University of Washington","Seattle WA","USA",62,"University of Washington"
"Demis Hassabis","1976-07-27",NULL,"United Kingdom","GB",NULL,NULL,"male",2024,"Chemistry","for advancements in protein structure prediction and design using artificial intelligence","Google DeepMind","London","UK",48,"DeepMind"
"John Jumper","1985-05-12",NULL,"USA","US",NULL,NULL,"male",2024,"Chemistry","for advancements in protein structure prediction and design using artificial intelligence"," Google DeepMind","London","UK",39,"DeepMind"
"Han Kang","1970-11-27",NULL,"South Korea","KR",NULL,NULL,"female",2024,"Literature","for her intense poetic prose that confronts historical traumas and exposes the fragility of human life",NULL,NULL,NULL,53,NULL
"Pierre Agostini","1941-07-23",NULL,"Tunisia","TN",NULL,NULL,"male",2023,"Physics","for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter","Ohio State University","Columbus OH","USA",81,"Ohio State University"
"Ferenc Krausz","1962-05-17",NULL,"Hungary","HU",NULL,NULL,"male",2023,"Physics","for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter","Max Planck Institute of Quantum Optics and Ludwig-Maximilians-Universität München","Munich","Germany",60,"Max Planck Society"
